"","Name","Total"
"893","Troy",1202
"894","Savanna",1198
"895","Virginia",1197
"896","June",1196
"897","Adelina",1193
"898","Blakely",1193
"899","Lilian",1186
"900","Ariyah",1185
"901","Remi",1185
"902","Haylee",1184
"903","Hanna",1179
"904","Helena",1179
"905","Winter",1179
"906","Cameron",1169
"907","Alanna",1167
"908","Karla",1163
"909","Henley",1160
"910","Charley",1158
"911","Gloria",1158
"912","Johnny",1157
"913","Remington",1157
"914","Sasha",1157
"915","Barrett",1156
"916","Cassidy",1154
"917","Jaylen",1154
"918","Cassandra",1152
"919","Jayda",1151
"920","Imani",1148
"921","Cecelia",1143
"922","Raegan",1137
"923","Johanna",1136
"924","Elsa",1132
"925","Liberty",1131
"926","Mabel",1131
"927","Janiyah",1128
"928","Cynthia",1127
"929","Kamryn",1122
"930","Rebekah",1122
"931","Royal",1121
"932","Skyla",1118
"933","Alayah",1113
"934","Mariam",1113
"935","Charlee",1112
"936","Samara",1111
"937","Aileen",1108
"938","Kali",1108
"939","Drew",1105
"940","Maia",1102
"941","Maryam",1102
"942","Anne",1101
"943","Milan",1099
"944","Crystal",1098
"945","Lainey",1098
"946","Marshall",1098
"947","Amara",1093
"948","Beatrice",1093
"949","Lilith",1092
"950","Meredith",1092
"951","Andy",1091
"952","Kailey",1090
"953","Lennon",1089
"954","Bridget",1087
"955","Cruz",1086
"956","Kylee",1084
"957","Emersyn",1083
"958","Mira",1082
"959","Marissa",1081
"960","Reed",1081
"961","Bailee",1078
"962","Dante",1078
"963","Avianna",1077
"964","Blair",1077
"965","Marie",1077
"966","Jett",1076
"967","Hallie",1075
"968","Ellis",1071
"969","Kaliyah",1071
"970","Monica",1069
"971","Anya",1068
"972","Julissa",1065
"973","Noel",1062
"974","Magnolia",1057
"975","Kaylie",1055
"976","Dalton",1053
"977","Myra",1053
"978","Ronan",1049
"979","Ariah",1048
"980","Allie",1041
"981","Hayley",1041
"982","Ari",1040
"983","Azalea",1040
"984","Galilea",1040
"985","Anika",1038
"986","Mae",1038
"987","Kensley",1036
"988","Cohen",1034
"989","Demi",1032
"990","Emelia",1031
"991","Dallas",1030
"992","Elianna",1029
"993","Charli",1028
"994","Braylee",1027
"995","Madalyn",1027
"996","Ember",1026
"997","Oakley",1025
"998","Rylie",1024
"999","Coraline",1023
"1000","Walker",1022
"1001","Renata",1019
"1002","Dayana",1017
"1003","Lillie",1016
"1004","Landen",1015
"1005","Leighton",1015
"1006","Addisyn",1013
"1007","Everleigh",1012
"1008","Shelby",1010
"1009","Heaven",1009
"1010","Jaliyah",1008
"1011","Armani",1005
"1012","Greta",1004
"1013","Pearl",1004
"1014","Camryn",1003
"1015","Oakley",1002
"1016","Anahi",1001
"1017","Journee",1000
